Titolo	Location	Tipologia del luogo	Tipologia dello Spazio	Temporalità dello Spazio	Definizione dello spazio	Note sullo spazio	Interpretazione	osm_id	lat_long	Note
La formica argentina	Sanremo	paese	Aperto > Urbano > Paese	Presente	Spazio reale	La casa del protagonista è incastonata tra siepi e giardini di altre case del paese, su un versante che scende verso il centro cittadino, al porto e al mare per mezzo di scale e strade scoscese.	Deduzione dalla biografia dell’autore	42651	43.8198253,7.7748827	
La speculazione edilizia	Liguria	città	Aperto > Urbano > Città	Presente	Spazio reale	La città è indicata come ***, ma collocata esplicitamente nella Riviera (ligure).	Deduzione dalla descrizione del luogo, Menzione esplicita	301482	44.4777617,8.7026296	
La nuvola di smog	Torino	città	Aperto > Urbano > Città	Presente	Spazio reale	La grande città industriale del Nord in cui è ambientato il racconto è verosimilmente Torino: oltre alla vista sull’arco alpino, la città ha un fiume, un parco ed è menzionato il sobborgo di "Barca Bertulla" che richiama i due quartieri torinesi di Barca e Bertolla.	Deduzione dalla descrizione del luogo	43992	45.0677551,7.6824892	
Marcovaldo ovvero Le stagioni in città	Torino	città		Presente	Spazio reale	Gli spazi della città – i giardini pubblici, l’ospedali, i tetti, le strade, le piazze – sono l’ambientazione ricorrente, attraverso le stagioni, della lotta per la sopravvivenza della natura nel contesto urbano. Spesso risultano trasformati o straniati dallo sguardo ingenuo e fantasioso di Marcovaldo o dei figli, che tentano instancabilmente di adattare gli spazi loro concessi ai propri desideri e necessità.	Deduzione dalla descrizione del luogo, Deduzione dalla biografia dell’autore	43992	45.0677551,7.6824892	
L'iguana	Isola di Ocaña	mare, isola	Aperto > Naturale > Acquatico > Mare	Presente	Spazio fittizio	L'isola immaginaria di Ocaña, inesistente sulle mappe e lontana dalle coste del Portogallo, è descritta come un’"arida isola", battuta dai venti e dal clima impervio, dominata dalla povertà.	Menzione esplicita		38.7200, -24.2200	
Cladonia rapida	Torino	città	Aperto > Urbano > Città	Presente	Spazio reale	A Torino è ambientato il caso “clinico-automobilistico” osservato dall’autore del report, di cui sono riportati il luogo e le dinamiche.	Menzione esplicita	43992	45.0677551,7.6824892	
Cladonia rapida	Tangeri	città		Presente	Spazio reale	A Tangeri (solo citata, mai rappresentata) si è svolto il Salone dell’Auto durante il quale sono stati discussi i primi effetti della diffusione mondiale del lichene.	Menzione esplicita	6053068	35.7625681,-5.8295062	
Cladonia rapida	Parigi	città		Presente	Spazio reale	A Parigi (solo citata, mai rappresentata) si sono svolti gli esperimenti i cui risultati sono comunicati nel report.	Menzione esplicita	71525	48.8534951,2.3483915	
Pieno impiego	Torino	campagna	Aperto > Naturale > Rurale > Campagna	Presente	Spazio reale	Gran parte del racconto si svolge nella villa di campagna di Simpson, dove il proprietario mette in mostra le possibilità di collaborazione con varie specie di insetti tra cui libellule, api e formiche.	Deduzione dalla biografia dell’autore	43992	45.0677551,7.6824892	
Protezione	Torino	interno	Chiuso > Edificio	Non specificato	Spazio reale	Il racconto si svolge interamente in casa, durante una cena tra amici.	Menzione esplicita	43992	45.0677551,7.6824892	
Verso occidente	Rio delle Amazzoni	bosco	Aperto > Naturale > Arboreo > Bosco	Presente	Spazio reale	Risalendo il Rio delle Amazzoni, Anna e Walter visitano la tribù degli Arunde per indagare l'alto tasso di suicidi nella loro comunità.	Menzione esplicita	172122662	0.1865944,-50.7348369	
Verso occidente	Europa non specificato	mare, fiume, montagna	Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Mare	Presente	Spazio fittizio	Il racconto si svolge in un luogo fittizio non identificabile: paesaggisticamente sono menzionati una valle, una palude e il mare; il “Laboratorio della Guardia Forestale” presso cui lavorano Anna e Walter potrebbe suggerire un’ambientazione italiana, ma i nomi fittizi usati per indicare alcuni elementi (la foce del Mölde, il fiordo di Penndal) evocano piuttosto un’area germanica o scandinava, riconducibile genericamente all’Europa del nord. 	Deduzione dalla descrizione del luogo	25871341	51,10	
Recuenco - La nutrice	Non specificato (forse Sud America?)	montagna	Aperto > Naturale > Rilievo > Montagna						38.7200, -24.2200	
Recuenco - Il rafter	Non specificato (forse Sud America?)	interno	Chiuso > Edificio						38.7200, -24.2200	
Paese d'ombre	Villacidro	campagna, paese, bosco	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco	Passato	Spazio reale dal nome fittizio	Chiamata nel romanzo con il nome fittizio di Norbio, è il fulcro spaziale del romanzo, i cui personaggi si muovono tra il paese, la campagna circostante e i versanti boscosi del Monte Linas.	Menzione esplicita	39919	39.4569925,8.7367219	
Lo smeraldo	Genova	città		Presente	Spazio reale	Genova si è trasformata in un mostro d’acciaio e cemento, che non lascia spazio alla memoria né alla natura. Rappresenta il volto distopico del progresso, la spersonalizzazione avvenuta sotto il peso della tecnica. 	Menzione esplicita	44875	44.4072600,8.9338624	ok
Lo smeraldo	Roma	città		Presente	Spazio reale	Le rovine di Roma non sono cancellate, sono esibite, e anzi sembrano magnificarsi nel loro crollo. I palazzi medievali, le torri, le architetture antiche, pur ferite, si stagliano nel cielo come resti di una grandezza perduta. 	Menzione esplicita	41485	41.8933203,12.4829321	ok
Lo smeraldo	Napoli	città		Presente	Spazio reale	Napoli è un'apparizione quasi salvifica. La città sembra tornata com’era all’inizio del Novecento: il degrado, il caos, i segni del tempo sembrano scomparsi, sostituiti da una visione armoniosa, piena di bellezza. 	Menzione esplicita	40767	40.8358846,14.2487679	ok
Lo smeraldo	Acquapendente	paese		Presente	Spazio reale	Acquapendente è un borgo emblematico perché qui il protagonista vi distingue tre classi di rovine, che possono essere estese a tutti gli altri luoghi del suo viaggio: le costruzioni moderne, devastanti e impressionanti; le case in mattoni, pittoresche grazie ai colori e all’erba; e le costruzioni in pietra, come vecchie chiese e case rivestite di edera, che suscitano malinconia e fascino.	Menzione esplicita	42144	42.7439961,11.864988	ok
